Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Fanwood,Union,93,0.32688082781507677,5709,227,94,0.4204946996466431,0.734982332155477,7648,1.339639587,0.09035041841004184,0.0672071129707113,0.030334728033472803,0,0,0,0.8121077405857741,0.07832112970711297,0.921678870292887,132292,Fanwood Union
Morris,Morris,94,0.2568266891352403,1435,290,329,0.303886925795053,0.31095406360424027,22498,15.6818623104,0.05084896435238688,0.043337185527602455,0.027602453551426792,5.333807449551071e-4,0.018846119655080453,0,0.8588318961685483,0.07342874922215308,0.926571250777847,142137,Morris township Morris
Montville,Morris,95,0.36301275133194744,1169,196,351,0.49823321554770317,0.254416961130742,21739,18.5895814104,0.19039514237085423,0.008142048852293114,0.020884125304751828,0.0023920143520861125,0.0034500207001242006,0,0.7747366484198905,0.0493582961497769,0.9506417038502231,134752,Montville township Morris
Gibbsboro,Camden,96,0.1475084718483245,1014,402,368,0.10600706713780919,0.21554770318021202,2183,2.1520584657,0.001374255611543747,0.021071919377004124,0.017865322950068714,0,0.03756298671552909,0,0.9221255153458543,0.06321575813101236,0.9367842418689877,84250,Gibbsboro Camden
River Edge,Bergen,97,0.4414944749511306,6356,145,78,0.6254416961130742,0.7773851590106007,11648,1.8325603296,0.22467376373626374,0.010130494505494506,0.013221153846153846,0.003949175824175824,0.036401098901098904,0,0.7116243131868132,0.11263736263736264,0.8873626373626373,123590,River Edge Bergen
Brielle,Monmouth,98,0.10019179777629339,2703,463,230,0.024734982332155476,0.4734982332155477,4738,1.7529333822,0.004010130856901647,0.025960320810468552,0.007598142676234698,0,0.014352047277332207,0,0.9480793583790629,0.040734487125369354,0.9592655128746307,133493,Brielle Monmouth
Peapack-Gladstone,Somerset,99,0.20330782852751506,454,340,426,0.20848056537102475,0.08833922261484099,2595,5.7212116533,0.013102119460500963,0.04084778420038536,0.006936416184971098,0,0.0489402697495183,0,0.8901734104046243,0.11406551059730251,0.8859344894026975,129688,Peapack and Gladstone Somerset
Waldwick,Bergen,100,0.23573962847124963,4880,311,114,0.26501766784452296,0.6890459363957597,9985,2.0462593437,0.08202303455182774,0.018928392588883326,0.01732598898347521,0,0.011817726589884827,0,0.8699048572859289,0.09954932398597897,0.9004506760140211,115591,Waldwick Bergen
Glen Ridge,Essex,101,0.312804584029613,6015,239,85,0.4028268551236749,0.7597173144876325,7668,1.2747469878,0.057511737089201875,0.07368283776734481,0.04121022430881586,0,0.00495565988523735,0,0.8226395409494001,0.11202399582681273,0.8879760041731872,196821,Glen Ridge Essex
Shrewsbury,Monmouth,102,0.0599188292982078,1875,501,293,0.01060070671378092,0.36395759717314485,4051,2.1605144418,0.015798568254751913,0.005924463095531967,0.008886694643297952,0,0,0,0.9693902740064182,0.017773389286595904,0.9822266107134041,122321,Shrewsbury Monmouth
